store	incpt	b_price	b_disp
NEW YORK (NEW) - WALDBAUMS	10.56531646	-2.132990119	1.701048779
OKLAHOMA CITY - HOMELAND	9.902501495	-2.353196993	0.526799749
"ORLANDO,FL - FOOD LION"	7.775926863	-1.105475914	1.013003597
"ORLANDO,FL - PUBLIX"	10.49253395	-1.9836902	0.684340499
"ORLANDO,FL - WINN DIXIE"	9.897474235	-1.647369151	0.496796337
PHILADELPHIA - ACME MARKET	11.91458312	-3.045100731	1.800102597
PHOENIX - FRY'S FOOD STORE	11.28448452	-3.014678882	0.793712656
PHOENIX - SAFEWAY	9.030442832	-1.819402781	1.563706749
PHOENIX - SMITHS FOOD	8.264212293	-1.028472902	0.714388863
PITTSBURGH - GIANT EAGLE	9.305639745	-1.303869138	1.754266445
RALEIGH/GREENSBORO - FOOD LION	9.970636629	-1.607226899	0.881745768
RALEIGH/GREENSBORO - WINN DIXIE	10.34843346	-2.737239112	0.591021956
RICHMOND/NORFOLK - FOOD LION	10.16011319	-1.742911707	1.272530851
RICHMOND/NORFOLK - NEW FARM FRESH	8.827917775	-1.122440422	1.851808487
ROANOKE (NEW) - FOOD LION	9.521965676	-1.609019604	0.862865574
ROANOKE (NEW) - KROGER CO	10.50696231	-2.232021572	1.300981005
SACRAMENTO - RALEYS	10.19770044	-2.208747473	0.321609339
SALT LAKE CITY - SMITHS FOOD	7.91934945	-0.902514121	1.284405922
SAN ANT/CORPUS CHR - H E BUTT	11.07661468	-1.447393894	0.827578886
SAN DIEGO - LUCKY	11.14788145	-2.50225886	0.624327176
SAN DIEGO - RALPHS	9.532149169	-1.775194795	0.296240678
SAN FRANCISCO - LUCKY	10.2959257	-1.370131796	2.450430836
SOUTH CAROLINA - BI LO	10.6132793	-2.132249611	0.671509797
SOUTH CAROLINA - FOOD LION	9.164008092	-0.989759943	1.206863862
SOUTH CAROLINA - WINN DIXIE	9.931722501	-2.186600134	0.849348114
ST. LOUIS - NATIONAL SUPER	11.35778975	-2.995611019	1.022996444
ST. LOUIS - SCHNUCK MARKETS	11.90401135	-2.965351439	0.987638965
SYRACUSE - P & C FOOD MARKE	9.245829882	-2.400329515	1.971613151
SYRACUSE - PRICE CHOPPER	9.32787572	-3.111314153	2.055010805
SYRACUSE - WEGMANS	10.6441382	-3.451994187	1.400272305
TAMPA/ST. PETE - KASH N KARRY	9.627613776	-1.340736544	1.915432691
TAMPA/ST. PETE - PUBLIX	10.73512028	-2.193881407	1.194593446
TAMPA/ST. PETE - WINN DIXIE	10.54355241	-2.104386157	1.522628055
WICHITA - DILLON COMPANIES	9.091049933	-1.657829447	0.450768981
